State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total,Rural_Households
ASSAM,5,CHIRANG,1522.06,1074.34,340.85,106.87,959.00,193.00,30.10,1182.10,763.63,189.48,29.38,982.50,29956,20899,50855,10,778,38,2,0,19806,3206,23012,3,778,38,2,0,1082.56,501.18,46.30,155.60,186.89,100.00,1.90,2.56,100.00,20.00,4.80,24.00,29956,20899,50855,19806,1913,10637,7054,0,63.36,3206,253,384,0,0,0,0,23012,89657
ASSAM,6,DARRANG,3824.75,2681.62,848.25,294.88,2001.08,395.94,141.57,2538.59,1487.65,392.87,141.57,2022.09,86628,25633,112261,25,673,539,5,0,48150,6448,54598,0,673,243,0,0,3208.36,1761.15,54.89,131.60,127.90,97.19,41.76,17.01,40.73,50.00,0.00,0.00,86628,25633,112261,48150,0,0,48150,0,0.00,6448,0,0,0,0,0,0,54598,175393
ASSAM,7,DHEMAJI,3228.33,2284.89,697.63,245.81,2058.67,353.63,158.36,2570.66,1859.49,353.63,158.36,2371.48,80854,18546,99400,10,871,230,5,0,58498,15565,74063,10,887,230,5,4,2757.39,1951.96,70.79,174.20,280.17,100.00,11.50,30.99,100.00,12.50,11.50,92.00,80854,18546,99400,58498,6564,26894,24282,0,57.20,15565,0,0,0,0,0,0,74063,119112
ASSAM,8,DHUBRI,8964.87,6264.78,1985.57,714.52,4589.66,949.90,390.64,5930.20,3471.52,925.79,374.17,4771.47,205324,42052,247376,50,1016,1902,2,0,124809,8820,133629,0,1181,576,4,9,7353.36,4207.06,57.21,203.20,222.11,100.00,164.16,47.39,28.87,100.00,0.00,0.00,205324,42052,247376,124809,2118,0,122691,0,1.70,8820,0,0,0,0,0,0,133629,370734
ASSAM,9,DIBRUGARH,3021.96,2136.12,653.02,232.82,1988.97,350.57,16.06,2355.60,1781.16,350.52,11.73,2143.41,77606,45384,122990,0,969,900,4,0,69914,37960,107874,0,972,559,4,0,2515.93,1807.41,71.84,200.64,175.39,87.42,63.76,28.89,45.31,0.00,0.00,0.00,77606,45384,122990,69914,1393,557,33478,0,2.79,37960,0,0,0,0,0,0,107874,218256
ASSAM,10,GOALPARA,2837.73,2002.27,645.89,189.57,1864.88,376.47,163.96,2405.31,1483.15,376.47,159.23,2018.85,65070,21747,86817,0,1840,951,3,0,56142,11252,67394,1,1840,804,3,4,1936.37,1553.24,80.21,521.92,353.57,67.74,54.92,55.21,100.00,0.00,0.88,0.00,65070,21747,86817,56142,3045,9142,43955,0,21.71,11252,0,0,0,0,0,0,67394,168874
ASSAM,11,GOLAGHAT,3133.34,2179.53,676.25,277.56,2026.68,400.98,96.93,2524.59,1927.61,400.98,96.42,2425.00,79743,27031,106774,0,1248,119,6,0,77985,22801,100786,0,1249,122,6,0,2449.84,2023.33,82.59,249.60,240.27,96.26,5.96,8.21,100.00,0.00,0.00,0.00,79743,27031,106774,77985,4688,7835,65462,0,16.06,22801,0,0,0,0,0,0,100786,202469
ASSAM,12,HAILAKANDI,1737.93,1215.24,379.49,143.20,1136.71,248.95,130.43,1516.09,1114.54,248.95,130.33,1493.81,49837,12445,62282,0,1140,35,4,0,49837,10570,60407,0,1140,35,4,0,1296.94,1162.71,89.65,228.00,233.22,100.00,1.76,2.33,100.00,0.00,0.00,0.00,49837,12445,62282,49837,5360,826,43651,0,12.41,10570,0,0,0,0,0,0,60407,133055
ASSAM,13,JORHAT,3071.84,2172.70,709.72,189.42,1827.95,376.48,126.44,2330.87,1740.56,376.48,126.17,2243.21,65070,21747,86817,0,1840,951,6,0,55811,21747,77558,0,1852,701,3,1,2244.67,1774.15,79.04,442.51,326.39,73.76,69.32,47.47,68.48,0.00,0.00,0.00,65070,21747,86817,55811,6805,12964,36042,0,35.42,21747,0,0,0,0,0,0,77558,181811
ASSAM,14,KAMRUP,3018.34,2129.06,644.75,244.53,1988.28,366.25,237.69,2592.22,1964.07,366.21,196.59,2526.87,85785,52723,138508,0,521,1531,0,0,84725,21386,106111,0,521,975,0,0,2436.20,2253.22,92.49,102.50,82.60,80.59,114.12,57.25,50.17,0.00,0.00,0.00,85785,52723,138508,84725,0,0,35480,0,0.00,21386,0,0,0,0,0,0,106111,274590
