State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
KARNATAKA,GADAG,961.93,408.49,127.85,1498.27,735.32,373.80,80.52,1189.64
KARNATAKA,GULBARGA,3666.91,1091.23,746.35,5504.49,1898.12,798.47,126.17,2822.77
KARNATAKA,HASSAN,1495.35,475.16,29.80,2000.31,1390.15,438.24,29.24,1857.63
KARNATAKA,HAVERI,2130.01,897.13,106.58,3133.72,1272.01,696.01,103.82,2071.85
KARNATAKA,KODAGU,860.82,194.98,69.38,1125.18,562.50,194.97,69.38,826.85
KARNATAKA,KOLAR,1220.79,647.41,1000.99,2869.19,1078.98,577.63,140.58,1797.19
KARNATAKA,KOPPAL,1313.17,535.41,381.65,2230.23,809.81,448.98,162.01,1420.80
KARNATAKA,MANDYA,2604.24,733.38,589.96,3927.58,1315.71,604.26,421.07,2341.04
KARNATAKA,MANGALORE(DAKSHINA KANNADA),968.72,305.14,231.16,1505.02,961.01,301.41,211.27,1473.70
KARNATAKA,MYSORE,2948.40,670.23,613.09,4231.72,1702.09,620.51,292.99,2615.59
KARNATAKA,RAICHUR,641.40,429.76,321.33,1392.49,552.83,397.56,152.57,1102.96
KARNATAKA,RAMANAGARA,689.75,289.97,0.00,979.72,379.20,139.62,0.00,518.82
KARNATAKA,SHIMOGA,1530.26,520.68,324.15,2375.09,1170.44,481.42,296.63,1948.49
KARNATAKA,TUMKUR,3149.76,878.52,1649.33,5677.61,1675.87,684.79,743.97,3104.64
KARNATAKA,UDUPI,740.48,343.45,3398.20,4482.13,705.17,309.62,426.54,1441.33
KARNATAKA,UTTAR KANNADA,2709.56,1921.21,1075.99,5706.76,1187.30,803.75,476.68,2467.72
KERALA,ALAPPUZHA,961.39,304.04,1646.57,2912.00,953.46,304.04,1580.01,2837.51
KERALA,ERNAKULAM,663.96,354.08,434.80,1452.84,662.32,320.14,434.80,1417.26
KERALA,IDUKKI,793.64,508.27,808.54,2110.45,911.28,459.63,567.02,1937.93
KERALA,KANNUR,451.80,246.47,435.17,1133.44,403.19,222.65,348.90,974.74
KERALA,KASARGOD,752.03,401.84,567.38,1721.25,597.57,317.54,478.47,1393.57
KERALA,KOLLAM,1019.81,323.64,177.03,1520.48,982.74,302.66,177.03,1462.43
KERALA,KOTTAYAM,399.57,223.06,170.32,792.95,400.16,222.72,170.32,793.19
KERALA,KOZHIKODE,387.64,223.56,218.66,829.86,415.82,192.72,218.63,827.16
KERALA,MALAPPURAM,728.40,244.27,126.14,1098.81,734.39,226.65,119.50,1080.54
KERALA,PALAKKAD,1153.20,660.94,515.55,2329.69,1070.19,591.49,515.55,2177.24
