State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ARUNACHAL PRADESH,11,TAWANG,321.84,224.27,72.34,25.23,166.54,66.64,10.47,243.65,129.27,30.41,10.47,170.15,23-11-2005,Jan-13,5478,1210,6688,21,156,91,4,0,3965,1210,5175,13,156,75,178.79,86.58,48.43,31.2,31,99.36,5.36,0.75,13.99,42,25.4,60.48,5478,1210,6688,3965,0,3965,0,0,100,1210,0,1210,0,0,0,0,5175
ARUNACHAL PRADESH,12,TIRAP,403.07,280.89,95.66,26.52,207.45,74.48,17.42,299.35,176.46,52.27,17.42,246.15,23-11-2005,Feb-13,5780,470,6250,25,304,150,6,0,5780,470,6250,18,304,150,196.44,125.69,63.98,60.8,65.4,100,7.5,9.96,100,50,22.8,45.6,5780,470,6250,5780,0,5780,0,0,100,470,0,0,0,0,0,0,6250
ARUNACHAL PRADESH,13,UPPER SIANG,200.81,139.74,47.07,14,115.82,53.12,7.84,176.78,92.79,22.66,7.84,123.28,23-11-2005,Jan-13,2634,964,3598,15,154,50,4,0,1963,964,2927,9,154,50,94.52,51.3,54.27,30.8,30.9,100,2.5,1.16,46.4,30,18.15,60.5,2634,964,3598,1963,0,1963,0,0,100,964,0,964,0,0,0,0,2927
ARUNACHAL PRADESH,14,UPPER SUBANSIRI,467.27,323.21,108.07,35.99,273.95,69.85,19.07,362.87,166.27,66.3,16.08,248.65,29-01-2002,Feb-13,9045,461,9506,25,154,221,3,0,5872,461,6333,3,156,178,268.99,154.33,57.37,30.8,32.14,100,21.32,18.14,85.08,50,6,12,9045,461,9506,5787,0,5787,0,0,100,461,0,0,0,0,0,0,6248
ARUNACHAL PRADESH,15,WEST KAMENG,387.3,269.67,91.67,25.96,235.19,89.89,12.14,337.22,174.11,48.82,12.14,235.07,23-11-2005,Jan-13,5644,252,5896,25,306,111,4,0,3744,252,3996,22,306,111,185.94,95.07,51.13,61.2,61.2,100,5.56,5.55,99.82,50,31.2,62.4,5644,252,5896,3744,0,3744,0,0,100,252,0,0,0,0,0,0,3996
ARUNACHAL PRADESH,16,WEST SIANG,625.32,432.02,144.22,49.08,222.54,116.73,12.82,352.09,229.3,75.87,12.7,317.88,03-03-2000,Feb-13,11472,0,11472,25,378,2,0,0,6862,0,6862,5,378,20,373.63,144.6,38.7,75.6,104.77,100,0.1,3.74,100,50,2.03,4.06,11472,0,11472,6862,0,6862,0,0,100,0,0,0,0,0,0,0,6862
ASSAM,1,BAGSHA,3930.13,2769.19,865.85,295.09,2369.85,484,208,3061.85,2271.37,450.28,208,2929.66,15-01-2008,Feb-13,85697,63785,149482,15,1789,69,3,0,73398,21762,95160,15,1789,69,2954.87,2272.23,76.9,376.3,478.6,100,3.46,4.83,100,30,23.2,77.33,85697,63785,149482,73398,13679,30999,28362,120,60.87,21762,0,0,0,0,0,0,95160
ASSAM,2,BARPETA,6162.6,4361.74,1348.62,452.24,3415.24,661.11,255.29,4331.64,3263.23,505.57,255.29,4024.08,17-05-2005,Feb-13,150747,93069,243816,0,1806,175,10,0,102542,33445,135987,0,2038,175,5293.17,3427.12,64.75,361.2,384.71,100,8.76,14.07,100,0,0,0,150747,93069,243816,102542,3899,1483,97160,0,5.25,33445,0,0,0,0,0,0,135987
ASSAM,3,BONGAIGAON,2773.12,1950.68,635.65,186.79,284.98,314.11,15.44,614.53,121.11,292.44,15.44,428.99,31-07-2006,Feb-13,51929,39654,91583,15,1222,59,3,0,5235,8881,14116,0,1252,59,2040.49,139.58,6.84,302.12,244.19,80.83,2.96,4.13,100,30,0,0,51929,39654,91583,5235,42,27,5166,0,1.32,8881,6,17,0,0,0,0,14116
ASSAM,4,CACHAR,4741.34,3346.64,1045.87,348.83,2700.62,578.47,294.62,3573.71,2217.2,578.47,269.02,3064.7,18-09-2001,Feb-13,119931,46293,166224,0,1839,1697,0,0,99502,18662,118164,1,1873,985,3760.31,2502.99,66.56,367.57,351.8,95.71,126.76,58.34,46.02,0,0.37,0,119931,46293,166224,99502,10722,1452,87328,0,12.23,18662,0,0,0,0,0,0,118164
ASSAM,5,CHIRANG,1522.06,1074.34,340.85,106.87,849.14,193,30.1,1072.24,655.57,171.2,29.38,856.15,15-01-2008,Feb-13,29956,20899,50855,10,778,38,2,0,14902,2616,17518,3,778,38,1082.56,391.33,36.15,155.6,186.89,100,1.9,2.56,100,20,4.8,24,29956,20899,50855,14902,1608,7965,5329,0,64.24,2616,208,145,0,0,0,0,17518
ASSAM,6,DARRANG,3824.75,2681.62,848.25,294.88,1352.86,395.94,136.5,1885.3,1210.03,381.4,136.5,1727.93,21-06-2007,Feb-13,86628,25633,112261,25,673,539,5,0,45344,6448,51792,0,673,243,3208.36,1516.61,47.27,131.6,127.9,97.19,41.76,17.01,40.73,50,0,0,86628,25633,112261,45344,0,0,45344,0,0,6448,0,0,0,0,0,0,51792
ASSAM,7,DHEMAJI,3228.33,2284.89,697.63,245.81,1843.2,353.63,45,2241.83,1782.19,353.63,45,2180.82,17-05-2005,Feb-13,80854,18546,99400,10,871,230,5,0,57267,15415,72682,10,887,230,2757.39,1761.36,63.88,174.2,280.17,100,11.5,30.99,100,12.5,11.5,92,80854,18546,99400,57267,6544,26604,24092,0,57.88,15415,0,0,0,0,0,0,72682
ASSAM,8,DHUBRI,8964.87,6264.78,1985.57,714.52,2994.08,949.9,366.8,4310.77,3123.85,609.9,350.32,4084.07,18-09-2001,Feb-13,205324,42052,247376,50,1016,1902,2,0,116859,8790,125649,0,1181,576,7353.36,3536.49,48.09,203.2,222.11,100,164.16,47.39,28.87,100,0,0,205324,42052,247376,116859,2118,0,114741,0,1.81,8790,0,0,0,0,0,0,125649
