State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
MEGHALAYA,WEST KHASI HILLS,36808,1803,38611,50,1013,190,6,0,20760,1803,22563,31,1953,244,0,0
MIZORAM,AIZAWL,16525,3497,20022,60,1025,454,5,0,11101,3136,14237,59,634,401,0,0
MIZORAM,CHAMPHAI,11077,1949,13026,54,1097,282,3,0,11077,1949,13026,50,824,282,0,0
MIZORAM,KOLASIB,8833,720,9553,20,360,97,3,0,8833,400,9233,21,294,97,0,0
MIZORAM,LAWNGTLAI,16544,2773,19317,149,908,141,2,0,16544,2773,19317,149,396,141,0,0
MIZORAM,LUNGLEI,19280,4665,23945,150,1287,218,3,0,17229,4665,21894,158,663,128,0,0
MIZORAM,MAMIT,5459,2000,7459,50,734,222,0,0,5334,2000,7334,46,352,219,0,0
MIZORAM,SAIHA,7238,567,7805,0,214,99,2,0,6417,567,6984,0,169,10,0,0
MIZORAM,SERCHHIP,4947,2804,7751,77,280,117,2,0,4398,2804,7202,77,80,92,0,0
NAGALAND,DIMAPUR,28927,3331,32258,0,450,215,3,0,21364,3131,24495,8,328,186,1,0
NAGALAND,KIPHIRE,14316,78,14394,10,194,77,4,0,0,78,78,0,0,0,0,0
NAGALAND,KOHIMA,25610,13063,38673,189,365,184,3,0,23981,10776,34757,178,285,184,2,0
NAGALAND,LONGLENG,6438,0,6438,8,26,40,2,0,0,0,0,0,0,0,0,0
NAGALAND,MOKOKCHUNG,11000,2312,13312,10,430,110,2,0,10662,2312,12974,5,250,135,0,0
NAGALAND,MON,20631,7839,28470,17,368,99,2,0,11627,6832,18459,8,214,81,2,0
NAGALAND,PEREN,9018,2325,11343,6,95,148,3,0,6802,2002,8804,3,178,102,1,0
NAGALAND,PHEK,18742,1160,19902,11,155,89,2,0,16299,1086,17385,7,292,73,2,0
NAGALAND,TUENSANG,13027,0,13027,5,214,81,3,0,10008,0,10008,5,220,52,1,0
NAGALAND,WOKHA,11813,1146,12959,7,134,196,3,0,7266,1038,8304,5,60,44,1,0
NAGALAND,ZUNHEBOTO,20570,0,20570,12,541,63,2,0,14840,0,14840,1,358,148,1,0
ORISSA,ANGUL,109581,77228,186809,24,2040,795,10,0,62039,36876,98915,4,2040,795,32,32
ORISSA,BALANGIR,199853,142381,342234,28,2400,915,10,0,118150,23986,142136,4,2400,915,6,7
ORISSA,BALESWAR,281636,102367,384003,48,3787,1849,10,0,257671,99600,357271,16,3994,1849,37,48
ORISSA,BARGARH,175810,140072,315882,0,2393,361,10,0,120630,72004,192634,0,2443,388,0,4
ORISSA,BHADRAK,136849,81632,218481,0,1855,1190,8,0,86521,44397,130918,0,1844,1109,0,75
ORISSA,BOUDH,71702,20970,92672,3,1033,258,10,0,41705,9583,51288,0,1015,258,9,1
ORISSA,CUTTACK,178679,186195,364874,50,2426,42,10,0,124061,102940,227001,16,2485,155,0,120
ORISSA,DEBAGARH,42977,19981,62958,20,620,190,10,0,26969,13355,40324,0,654,221,0,6
ORISSA,DHENKANAL,125111,65196,190307,32,2065,690,10,0,71585,26923,98508,3,2065,684,30,30
ORISSA,GAJAPATI,68154,42038,110192,14,1438,630,10,0,35491,9517,45008,0,1332,610,0,35
ORISSA,GANJAM,270886,180430,451316,20,4235,2505,10,0,174588,103218,277806,11,4203,2505,72,93
ORISSA,JAGATSINGHAPUR,95623,116710,212333,16,2434,955,10,0,91601,87331,178932,8,2434,955,10,16
ORISSA,JAJAPUR,162500,191899,354399,50,3414,1355,10,0,87854,114316,202170,0,3414,1355,0,101
ORISSA,JHARSUGUDA,33172,34757,67929,30,811,433,10,0,23459,13210,36669,2,811,433,0,16
ORISSA,KALAHANDI,190958,105415,296373,50,2330,676,10,0,96701,62455,159156,0,2330,676,0,50
ORISSA,KANDHAMAL,112422,43118,155540,0,1812,937,5,0,33443,6069,39512,5,1785,635,21,10
ORISSA,KENDRAPARA,136153,80039,216192,9,2583,1064,10,0,94142,56909,151051,4,2624,1064,29,0
ORISSA,KENDUJHAR,219850,43598,263448,50,5428,1590,10,0,80324,16943,97267,0,5184,820,1,8
ORISSA,KHORDHA,150000,80593,230593,50,2431,150,8,0,103119,31550,134669,1,2431,184,8,0
ORISSA,KORAPUT,221421,42780,264201,50,2659,1130,10,0,101968,6407,108375,0,2604,1013,0,10
ORISSA,MALKANGIRI,89117,42591,131708,50,1650,534,10,0,57180,28499,85679,2,1635,522,0,1
ORISSA,MAYURBHANJ,369475,193293,562768,10,4642,1698,10,0,272816,52300,325116,1,4642,1894,0,60
ORISSA,NABARANGAPUR,158604,95891,254495,50,1838,378,10,0,62576,30564,93140,0,2251,961,0,0
ORISSA,NAYAGARH,134750,72562,207312,51,1993,34,8,0,89766,18040,107806,7,1993,552,0,0
ORISSA,NUAPADA,101492,27298,128790,20,941,585,10,0,47375,13319,60694,6,941,585,10,0
ORISSA,PURI,160972,70160,231132,50,2250,1130,10,0,102358,28206,130564,28,2183,1136,8,0
ORISSA,RAYAGADA,134397,77807,212204,25,2931,1001,10,0,69107,3954,73061,0,2061,478,15,0
ORISSA,SAMBALPUR,88701,59914,148615,0,2217,480,10,0,53585,21089,74674,0,2217,480,0,0
ORISSA,SONEPUR,80396,26722,107118,0,1563,214,10,0,51296,13394,64690,0,1587,214,5,0
ORISSA,SUNDARGARH,183809,107961,291770,18,2444,1391,10,0,139891,28630,168521,3,2821,1496,0,6
PUDUCHERRY,PONDICHERRY,18000,0,18000,0,26,16,3,0,2268,0,2268,30,0,16,2,0
PUNJAB,AMRITSAR,90089,66983,157072,0,599,378,0,0,2716,84262,86978,1,650,50,0,0
PUNJAB,BARNALA,12137,12000,24137,35,54,123,0,0,12593,12450,25043,3,58,100,0,0
PUNJAB,BATHINDA,40000,11602,51602,14,442,0,7,0,12766,14565,27331,9,422,652,7,0
PUNJAB,FARIDKOT,6000,0,6000,0,410,0,1,0,1418,1168,2586,0,368,117,0,0
PUNJAB,FATEHGARH SAHIB,2485,16192,18677,0,363,0,2,0,2630,10895,13525,0,363,402,2,0
PUNJAB,FEROZEPUR,50655,75000,125655,0,326,604,10,0,12687,10690,23377,0,326,150,2,0
PUNJAB,GURDASPUR,40780,73530,114310,0,600,0,4,0,9304,4895,14199,0,110,56,3,0
PUNJAB,HOSHIARPUR,11112,0,11112,0,839,0,5,0,19094,209150,228244,0,1730,0,1,0
PUNJAB,JALANDHAR,19885,2708,22593,0,1200,0,5,0,19653,35252,54905,0,1200,256,2,0
PUNJAB,KAPURTHALA,12617,2229,14846,0,500,0,2,0,12095,9240,21335,0,627,155,1,0
PUNJAB,LUDHIANA,45422,8956,54378,50,156,311,10,0,46920,7230,54150,8,146,62,3,0
PUNJAB,MANSA,25000,44004,69004,75,240,391,10,0,23398,47180,70578,5,240,625,3,0
PUNJAB,MOGA,37170,0,37170,10,210,0,5,0,2261,2040,4301,6,333,353,2,0
PUNJAB,MUKTSAR,33148,0,33148,200,193,0,5,0,18000,6260,24260,45,195,0,2,0
PUNJAB,NAWANSHAHR,7273,35894,43167,0,330,0,2,0,11581,15760,27341,0,330,160,2,0
PUNJAB,PATIALA,60513,76029,136542,2,0,417,0,0,10227,14242,24469,7,0,417,0,0
PUNJAB,RUPNAGAR,28278,20872,49150,0,52,228,9,0,4212,28280,32492,0,72,522,2,0
PUNJAB,S.A.S NAGAR,4008,16674,20682,0,504,0,4,0,4025,6145,10170,0,104,303,2,0
PUNJAB,SANGRUR,19920,26006,45926,25,306,372,0,0,11909,22290,34199,16,358,90,0,0
PUNJAB,TARN TARAN,76706,55691,132397,0,140,450,0,0,14721,31275,45996,0,499,265,0,0
RAJASTHAN,AJMER,27392,184378,211770,50,2050,1157,10,0,24915,89571,114486,2,2654,920,7,3
RAJASTHAN,ALWAR,55920,284634,340554,50,3156,1610,10,0,41466,283864,325330,0,2498,890,13,13
RAJASTHAN,BANSWARA,169828,79429,249257,40,4092,1619,8,0,39769,44705,84474,1,4009,1116,0,0
RAJASTHAN,BARAN,45648,113170,158818,50,1269,1013,10,0,13418,78650,92068,29,1269,469,6,0
