State_Name,District_Name,Census_2001_Total_Rural_Households,Census_2011_Total_Rural_Households,Census_2001_IHHL,Census_2011_IHHL,C2011/TRH2011-C2001/TRH2001
ORISSA,ANGUL,195527,249585,17739,41774,0.076649797
ORISSA,BALANGIR,306102,387345,14857,39149,0.052533997
ORISSA,BALESWAR,362365,473512,33589,107566,0.134472535
ORISSA,BARGARH,280361,339364,16901,41802,0.062894481
ORISSA,BHADRAK,220048,274191,17005,43944,0.082989249
ORISSA,BOUDH,81225,103239,3035,9283,0.052552227
ORISSA,CUTTACK,352874,425082,40086,95094,0.110108804
ORISSA,DEBAGARH,53981,70511,2741,4186,0.008589498
ORISSA,DHENKANAL,206753,253118,17053,35980,0.05966708
ORISSA,GAJAPATI,101797,112872,5211,14279,0.075316017
ORISSA,GANJAM,564710,602216,64902,114865,0.075807424
