State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ASSAM,1,BAGSHA,3930.13,2769.19,865.85,295.09,2564.67,484.00,208.00,3256.67,2607.37,479.28,208.00,3294.66,85697,63785,149482,15,1789,69,3,0,73500,21780,95280,15,1789,69,3,0,2954.87,2625.23,88.84,376.30,478.60,100.00,3.46,4.83,100.00,30.00,23.20,77.33,13690,31050,28630,130,60.87,0,0,0,0,0,0,188191,0
ASSAM,2,BARPETA,6162.60,4361.74,1348.62,452.24,3876.98,661.11,259.82,4797.91,3643.33,661.11,259.82,4564.26,150747,93069,243816,0,1806,175,10,0,103719,33545,137264,0,2038,175,0,0,5293.17,3778.57,71.39,361.20,384.71,100.00,8.76,14.07,100.00,0.00,0.00,0.00,3899,1488,98332,0,5.19,0,0,0,0,0,0,306688,190588
ASSAM,3,BONGAIGAON,2773.12,1950.68,635.65,186.79,1097.58,314.11,15.44,1427.13,121.11,294.25,15.44,430.80,51929,39654,91583,15,1222,59,3,0,5286,8881,14167,0,1252,59,0,0,2040.49,139.58,6.84,302.12,244.19,80.83,2.96,4.13,100.00,30.00,0.00,0.00,42,27,5176,0,1.31,6,17,0,0,0,0,124874,65431
ASSAM,4,CACHAR,4741.34,3346.64,1045.87,348.83,3015.78,578.47,306.85,3901.10,2331.86,578.47,278.38,3188.70,119931,46293,166224,0,1839,1697,0,0,103266,31160,134426,1,1873,985,2,92,3760.31,2623.89,69.78,367.57,351.80,95.71,126.76,58.34,46.02,0.00,0.37,0.00,11539,1537,90190,0,12.66,0,0,0,0,0,0,299194,182908
ASSAM,5,CHIRANG,1522.06,1074.34,340.85,106.87,959.00,193.00,30.10,1182.10,877.42,189.48,29.38,1096.28,29956,20899,50855,10,778,38,2,0,21865,4252,26117,3,778,38,2,0,1082.56,590.83,54.58,155.60,186.89,100.00,1.90,2.56,100.00,20.00,4.80,24.00,1965,11480,8420,0,61.49,256,744,0,0,0,0,89657,0
ASSAM,6,DARRANG,3824.75,2681.62,848.25,294.88,2001.08,395.94,154.13,2551.15,1724.74,392.87,154.13,2271.75,86628,25633,112261,25,673,539,5,0,52118,6473,58591,0,673,243,0,0,3208.36,2002.81,62.42,131.60,127.90,97.19,41.76,17.01,40.73,50.00,0.00,0.00,0,0,52118,0,0.00,0,0,0,0,0,0,175393,120945
ASSAM,7,DHEMAJI,3228.33,2284.89,697.63,245.81,2058.67,353.63,158.36,2570.66,1859.89,353.63,158.36,2371.88,80854,18546,99400,10,871,230,5,0,58792,16235,75027,10,887,230,5,4,2757.39,1951.96,70.79,174.20,280.17,100.00,11.50,30.99,100.00,12.50,11.50,92.00,6564,27188,24282,0,57.41,0,0,0,0,0,0,119112,31371
ASSAM,8,DHUBRI,8964.87,6264.78,1985.57,714.52,4589.66,949.90,412.95,5952.50,3787.38,925.79,394.63,5107.80,205324,42052,247376,50,1016,1902,2,0,132243,8848,141091,0,1181,576,4,9,7353.36,4541.71,61.76,203.20,222.11,100.00,164.16,48.37,29.47,100.00,0.00,0.00,2118,0,130125,0,1.60,0,0,0,0,0,0,370734,119216
ASSAM,9,DIBRUGARH,3021.96,2136.12,653.02,232.82,1988.97,350.57,16.06,2355.60,1842.38,350.52,11.73,2204.63,77606,45384,122990,0,969,900,4,0,70565,39073,109638,0,972,559,4,0,2515.93,1865.02,74.13,200.64,175.39,87.42,63.76,28.89,45.31,0.00,0.00,0.00,1393,557,33478,0,2.76,0,0,0,0,0,0,218256,133108
ASSAM,10,GOALPARA,2837.73,2002.27,645.89,189.57,1864.88,376.47,164.97,2406.32,1617.60,376.47,164.00,2158.07,65070,21747,86817,0,1840,951,3,0,61782,11252,73034,1,1840,804,3,4,1936.37,1692.19,87.39,521.92,353.75,67.78,54.92,55.21,100.00,0.00,0.88,0.00,3056,9203,49523,0,19.84,0,0,0,0,0,0,168874,82698
ASSAM,11,GOLAGHAT,3133.34,2179.53,676.25,277.56,2026.68,400.98,97.08,2524.74,2010.88,400.98,96.56,2508.42,79743,27031,106774,0,1248,119,6,0,79682,22823,102505,0,1249,122,6,0,2449.84,2106.13,85.97,249.60,240.27,96.26,5.96,8.21,100.00,0.00,0.00,0.00,4871,7984,66827,0,16.13,0,0,0,0,0,0,202469,101692
ASSAM,12,HAILAKANDI,1737.93,1215.24,379.49,143.20,1136.71,308.45,130.43,1575.59,1125.50,251.59,130.33,1507.43,49837,12445,62282,0,1140,35,4,0,49837,10570,60407,0,1140,35,4,0,1296.94,1162.71,89.65,228.00,233.22,100.00,1.76,2.33,100.00,0.00,0.00,0.00,5360,826,43651,0,12.41,0,0,0,0,0,0,133055,71986
ASSAM,13,JORHAT,3071.84,2172.70,709.72,189.42,1827.95,376.48,128.96,2333.38,1764.55,376.48,128.06,2269.08,65070,21747,86817,0,1840,951,6,0,57496,21747,79243,0,1852,701,3,1,2244.67,1798.56,80.13,442.51,326.39,73.76,69.32,47.47,68.48,0.00,0.00,0.00,6805,13049,37642,0,34.53,0,0,0,0,0,0,181811,93180
ASSAM,14,KAMRUP,3018.34,2129.06,644.75,244.53,1988.28,366.25,237.69,2592.22,2026.50,366.22,196.59,2589.31,85785,52723,138508,0,521,1531,0,0,84725,21386,106111,0,521,975,0,0,2436.20,2314.88,95.02,102.50,82.60,80.59,114.12,57.25,50.17,0.00,0.00,0.00,0,0,35480,0,0.00,0,0,0,0,0,0,274590,155852
ASSAM,15,KARBI ANGLONG,3832.82,2713.59,935.24,183.99,1628.37,67.77,42.18,1738.32,1121.97,50.97,15.22,1188.16,60953,19293,80246,0,3304,1406,4,0,15968,407,16375,0,2580,255,0,0,2372.36,532.93,22.46,998.98,595.18,59.58,137.56,17.66,12.84,0.00,0.00,0.00,0,15968,0,0,100.00,0,0,0,0,0,0,152873,53477
ASSAM,16,KARIMGANJ,2672.51,1865.25,586.72,220.54,1730.37,343.30,244.49,2318.16,1531.50,343.30,244.49,2119.28,78992,15409,94401,14,1051,912,3,0,76687,15409,92096,0,1054,623,1,0,2148.75,1784.67,83.06,209.76,238.36,100.00,60.36,43.84,72.63,17.50,0.00,0.00,21220,3785,51682,0,32.61,0,0,0,0,0,0,223720,141643
ASSAM,17,KOKRAJHAR,2979.14,2075.89,638.56,264.69,1935.06,394.05,117.58,2446.69,1936.67,390.49,79.37,2406.53,84830,35087,119917,0,1157,146,3,0,76975,20303,97278,0,1226,146,2,1,2245.27,1990.45,88.65,225.86,243.92,100.00,7.31,7.14,97.67,0.00,0.00,0.00,7843,42682,26436,14,65.64,0,0,0,0,0,0,168278,32373
ASSAM,18,LAKHIMPUR,3024.58,2138.81,646.27,239.50,2007.79,393.74,101.48,2503.00,1890.70,377.93,101.48,2370.11,73224,22938,96162,0,1432,276,4,0,62482,3975,66457,0,1432,276,7,3,2293.57,1980.67,86.36,286.40,286.70,100.00,13.80,19.48,100.00,0.00,0.00,0.00,304,1331,60847,0,2.62,0,0,0,0,0,0,181790,77547
ASSAM,19,MARIGAON,1802.88,1249.95,375.72,177.21,1178.34,302.59,150.53,1631.46,1167.47,282.89,148.11,1598.48,60770,105564,166334,0,326,797,3,0,60770,105564,166334,0,505,596,2,0,1618.55,1384.63,85.55,57.06,79.10,100.00,49.92,24.99,50.06,0.00,0.00,0.00,7330,12890,38646,0,33.27,0,0,0,0,0,0,169007,66198
