Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC
03-12-2012,ORISSA,16,KANDHAMAL,12-03-2003,Oct-12,112422,43118,155540,0,1812,937,5,0,33071,6039,39110,5,1765,609,21,10
03-12-2012,ORISSA,17,KENDRAPARA,13-02-2003,Oct-12,136153,80039,216192,9,2583,1064,10,0,94142,56909,151051,3,2607,1064,29,0
03-12-2012,ORISSA,18,KENDUJHAR,24-09-2004,Nov-12,219850,43598,263448,50,5428,1590,10,0,80324,16943,97267,0,5184,820,1,8
03-12-2012,ORISSA,19,KHORDHA,18-09-2001,Oct-12,150000,80593,230593,50,2431,150,8,0,103119,31550,134669,1,2431,184,8,0
03-12-2012,ORISSA,20,KORAPUT,13-02-2003,Oct-12,221421,42780,264201,50,2659,1130,10,0,101593,6407,108000,0,2604,1008,0,10
03-12-2012,ORISSA,21,MALKANGIRI,24-09-2004,Oct-12,89117,42591,131708,50,1650,534,10,0,57180,28499,85679,2,1635,522,0,1
03-12-2012,ORISSA,22,MAYURBHANJ,24-09-2004,Oct-12,369475,193293,562768,10,4642,1698,10,0,272658,52300,324958,1,4642,1893,0,60
03-12-2012,ORISSA,23,NABARANGAPUR,24-09-2004,Oct-12,158604,95891,254495,50,1838,378,10,0,62576,30564,93140,0,2191,961,0,0
03-12-2012,ORISSA,24,NAYAGARH,01-05-2002,Oct-12,134750,72562,207312,51,1993,34,8,0,89657,18040,107697,7,1989,552,0,0
03-12-2012,ORISSA,25,NUAPADA,24-09-2004,Oct-12,101492,27298,128790,20,941,585,10,0,46970,13303,60273,6,941,585,10,0
03-12-2012,ORISSA,26,PURI,13-02-2003,Oct-12,160972,70160,231132,50,2250,1130,10,0,102192,28206,130398,28,2123,1136,8,0
03-12-2012,ORISSA,27,RAYAGADA,13-02-2003,Nov-12,134397,77807,212204,25,2931,1001,10,0,69107,3954,73061,0,2023,473,15,0
03-12-2012,ORISSA,28,SAMBALPUR,27-12-2004,Oct-12,88701,59914,148615,0,2217,480,10,0,53535,21089,74624,0,2217,480,0,0
03-12-2012,ORISSA,29,SONEPUR,24-09-2004,Oct-12,80396,26722,107118,0,1563,214,10,0,51140,13394,64534,0,1587,214,5,0
03-12-2012,ORISSA,30,SUNDARGARH,28-03-2000,Oct-12,183809,107961,291770,18,2444,1391,10,0,139861,28523,168384,3,2821,1496,0,6
03-12-2012,ORISSA,30,Total,,,4485050,2571598,7056648,818,70663,25160,289,0,2766345,1175352,3941697,118,70111,24845,293,729
03-12-2012,PUDUCHERRY,1,PONDICHERRY,18-09-2001,Aug-10,18000,0,18000,0,26,16,3,0,2268,0,2268,30,0,16,2,0
03-12-2012,PUDUCHERRY,1,Total,,,18000,0,18000,0,26,16,3,0,2268,0,2268,30,0,16,2,0
03-12-2012,PUNJAB,1,AMRITSAR,02-05-2003,Oct-12,90089,66983,157072,0,599,378,0,0,2250,83680,85930,1,650,50,0,0
03-12-2012,PUNJAB,2,BARNALA,04-08-2010,Oct-12,12137,12000,24137,35,54,123,0,0,12510,12450,24960,3,58,100,0,0
03-12-2012,PUNJAB,3,BATHINDA,10-01-2001,Oct-12,40000,11602,51602,14,442,0,7,0,12220,14565,26785,9,422,652,7,0
03-12-2012,PUNJAB,4,FARIDKOT,02-05-2003,Oct-12,6000,0,6000,0,410,0,1,0,1382,1168,2550,0,368,117,0,0
03-12-2012,PUNJAB,5,FATEHGARH SAHIB,02-05-2003,Oct-12,2485,16192,18677,0,363,0,2,0,2560,10895,13455,0,363,402,2,0
03-12-2012,PUNJAB,6,FEROZEPUR,15-07-2005,Oct-12,50655,75000,125655,0,326,604,10,0,12575,10690,23265,0,326,150,2,0
03-12-2012,PUNJAB,7,GURDASPUR,02-05-2003,Oct-12,40780,73530,114310,0,600,0,4,0,8190,4895,13085,0,110,56,3,0
03-12-2012,PUNJAB,8,HOSHIARPUR,02-05-2003,Oct-12,11112,0,11112,0,839,0,5,0,18850,209150,228000,0,1730,0,1,0
03-12-2012,PUNJAB,9,JALANDHAR,02-05-2003,Oct-12,19885,2708,22593,0,1200,0,5,0,18865,35252,54117,0,1200,256,2,0
03-12-2012,PUNJAB,10,KAPURTHALA,02-05-2003,Oct-12,12617,2229,14846,0,500,0,2,0,8595,7040,15635,0,627,145,1,0
03-12-2012,PUNJAB,11,LUDHIANA,07-07-2004,Oct-12,45422,8956,54378,50,156,311,10,0,46760,7160,53920,8,146,62,3,0
03-12-2012,PUNJAB,12,MANSA,15-07-2005,Oct-12,25000,44004,69004,75,240,391,10,0,22780,47180,69960,5,240,625,3,0
03-12-2012,PUNJAB,13,MOGA,18-09-2001,Oct-12,37170,0,37170,10,210,0,5,0,1995,2020,4015,6,333,353,2,0
03-12-2012,PUNJAB,14,MUKTSAR,22-03-2001,Oct-12,33148,0,33148,200,193,0,5,0,17645,6260,23905,45,195,0,2,0
03-12-2012,PUNJAB,15,NAWANSHAHR,02-05-2003,Oct-12,7273,35894,43167,0,330,0,2,0,11435,15760,27195,0,330,160,2,0
03-12-2012,PUNJAB,16,PATIALA,01-05-2002,Oct-12,60513,76029,136542,2,0,417,0,0,10165,14242,24407,7,0,417,0,0
03-12-2012,PUNJAB,17,RUPNAGAR,02-05-2003,Oct-12,28278,20872,49150,0,52,228,9,0,4015,28280,32295,0,72,522,2,0
03-12-2012,PUNJAB,18,S.A.S NAGAR,04-08-2010,Oct-12,4008,16674,20682,0,504,0,4,0,3950,6145,10095,0,104,303,2,0
03-12-2012,PUNJAB,19,SANGRUR,01-05-2002,Oct-12,19920,26006,45926,25,306,372,0,0,11795,22290,34085,16,358,90,0,0
03-12-2012,PUNJAB,20,TARN TARAN,04-08-2010,Oct-12,76706,55691,132397,0,140,450,0,0,14712,31275,45987,0,499,265,0,0
03-12-2012,PUNJAB,20,Total,,,623198,544370,1167568,411,7464,3274,81,0,243249,570397,813646,100,8131,4725,34,0
03-12-2012,RAJASTHAN,1,AJMER,01-05-2002,Nov-12,27392,184378,211770,50,2050,1157,10,0,24328,85602,109930,1,2654,880,7,3
03-12-2012,RAJASTHAN,2,ALWAR,28-03-2000,Oct-12,55920,284634,340554,50,3156,1610,10,0,41120,278458,319578,0,2498,197,13,13
03-12-2012,RAJASTHAN,3,BANSWARA,11-03-2005,Oct-12,169828,79429,249257,40,4092,1619,8,0,38536,44140,82676,1,3740,1030,0,0
03-12-2012,RAJASTHAN,4,BARAN,15-07-2005,Nov-12,45648,113170,158818,50,1269,1013,10,0,12484,78198,90682,26,1044,395,6,0
03-12-2012,RAJASTHAN,5,BARMER,03-03-2000,Nov-12,112891,171707,284598,60,4394,1980,10,0,75007,77796,152803,20,3080,568,8,8
03-12-2012,RAJASTHAN,6,BHARATPUR,27-12-2004,Nov-12,45606,199450,245056,50,794,586,10,0,6622,47887,54509,6,552,188,18,0
03-12-2012,RAJASTHAN,7,BHILWARA,17-05-2005,Nov-12,104663,174671,279334,50,4500,1519,10,0,62771,135832,198603,5,3564,394,32,0
03-12-2012,RAJASTHAN,8,BIKANER,24-09-2004,Oct-12,63295,120000,183295,85,2764,917,10,0,40483,73797,114280,66,2622,351,10,0
03-12-2012,RAJASTHAN,9,BUNDI,01-05-2002,Nov-12,41413,125545,166958,20,1898,296,10,0,27874,77495,105369,19,1898,138,5,0
03-12-2012,RAJASTHAN,10,CHITTORGARH,11-03-2005,Nov-12,56149,189366,245515,50,2800,1071,14,0,33500,127650,161150,48,2520,520,14,4
03-12-2012,RAJASTHAN,11,CHURU,17-05-2005,Nov-12,40000,101217,141217,42,1312,950,10,0,33676,91679,125355,11,1274,442,6,0
03-12-2012,RAJASTHAN,12,DAUSA,17-05-2005,Oct-12,43276,214288,257564,50,2073,954,10,0,12663,124079,136742,0,1666,155,9,0
03-12-2012,RAJASTHAN,13,DHOLPUR,11-03-2005,Oct-12,29882,100462,130344,50,1002,384,10,0,8296,65840,74136,0,750,390,4,0
03-12-2012,RAJASTHAN,14,DUNGARPUR,11-03-2005,Oct-12,130459,37264,167723,50,3768,1481,10,0,107870,41000,148870,14,3383,1227,9,0
03-12-2012,RAJASTHAN,15,GANGANAGAR,17-05-2005,Aug-12,31756,134637,166393,20,3600,858,10,0,31446,112374,143820,6,3555,811,1,0
03-12-2012,RAJASTHAN,16,HANUMANGARH,17-05-2005,Nov-12,31621,35602,67223,50,1246,227,10,0,31312,35603,66915,11,1042,95,6,0
03-12-2012,RAJASTHAN,17,JAIPUR,28-03-2000,Aug-12,60791,315869,376660,50,7043,1108,10,0,20168,209950,230118,1,4077,452,16,1
03-12-2012,RAJASTHAN,18,JAISALMER,27-12-2004,Oct-12,17497,61888,79385,56,2674,484,10,0,15237,37598,52835,49,1830,376,12,0
03-12-2012,RAJASTHAN,19,JALOR,15-07-2005,Oct-12,67713,133481,201194,50,3011,960,10,0,14068,75667,89735,0,2506,68,14,0
03-12-2012,RAJASTHAN,20,JHALAWAR,22-03-2001,Sep-12,55229,143234,198463,50,2452,1179,12,0,17874,28626,46500,24,2045,783,5,0
03-12-2012,RAJASTHAN,21,JHUNJHUNU,27-12-2004,Nov-12,21440,177396,198836,50,1755,902,10,0,7214,181633,188847,29,1188,342,0,0
03-12-2012,RAJASTHAN,22,JODHPUR,11-03-2005,Oct-12,70837,248282,319119,50,4996,906,10,0,45544,204467,250011,34,2650,750,0,0
03-12-2012,RAJASTHAN,23,KARAULI,17-05-2005,Nov-12,68530,148819,217349,56,3969,672,10,0,43703,50804,94507,38,2529,511,5,0
03-12-2012,RAJASTHAN,24,KOTA,01-05-2002,Nov-12,47767,87135,134902,50,1510,1398,10,0,19684,32685,52369,5,1510,20,5,0
03-12-2012,RAJASTHAN,25,NAGAUR,17-05-2005,Oct-12,41537,256360,297897,50,2793,1855,10,0,40458,242641,283099,14,1962,761,11,0
03-12-2012,RAJASTHAN,26,PALI,17-05-2005,Oct-12,46444,228892,275336,50,1560,753,10,0,32839,173697,206536,11,1366,422,10,0
03-12-2012,RAJASTHAN,27,RAJSAMAND,01-05-2002,Oct-12,69568,121350,190918,35,2401,677,10,0,35686,69516,105202,34,2022,367,2,0
03-12-2012,RAJASTHAN,28,SAWAI MADHOPUR,20-02-2003,Oct-12,38914,137304,176218,50,1021,723,3,0,19603,54425,74028,1,912,306,2,2
03-12-2012,RAJASTHAN,29,SIKAR,03-03-2000,Oct-12,28460,228307,256767,58,2962,659,10,0,23748,212107,235855,11,2813,123,0,0
03-12-2012,RAJASTHAN,30,SIROHI,17-05-2005,Nov-12,36060,79445,115505,50,1137,391,10,0,24297,56571,80868,10,1117,253,10,5
03-12-2012,RAJASTHAN,31,TONK,11-03-2005,Oct-12,41916,182977,224893,50,1812,724,10,0,14548,32089,46637,18,1415,274,0,10
03-12-2012,RAJASTHAN,32,UDAIPUR,11-03-2005,Oct-12,218401,206871,425272,22,3848,2256,10,0,109219,148089,257308,15,3591,930,0,0
03-12-2012,RAJASTHAN,32,Total,,,1960903,5023430,6984333,1544,85662,32269,317,0,1071878,3307995,4379873,528,69375,14519,240,46
03-12-2012,SIKKIM,1,EAST SIKKIM,18-03-2002,Aug-12,24109,18000,42109,225,464,36,7,0,26852,18000,44852,271,464,87,0,0
