Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total
3/15/2013,CHHATTISGARH,2,BILASPUR,7/11/2003,13-Feb,8120.38,5432.45,1961.93,726,4319,1378.9,334.29,6032.19,2994.18,1339.76,334.29,4668.24
3/15/2013,CHHATTISGARH,3,DANTEWADA,20-02-2003,13-Jan,3863.51,2607.83,958.9,296.78,1720.32,861.12,172.63,2754.07,1273.53,708.25,172.63,2154.4
3/15/2013,CHHATTISGARH,4,DHAMTARI,15-07-2005,13-Feb,1790.9,1209.77,423.23,157.9,997.7,358.79,96.16,1452.65,757.16,260.24,96.16,1113.56
3/15/2013,CHHATTISGARH,5,DURG,11/6/2001,13-Feb,4109.09,2731.95,1007.01,370.13,1798.18,1007.01,279,3084.19,1399.04,727.4,278.87,2405.31
3/15/2013,CHHATTISGARH,6,JANJGIR - CHAMPA,17-05-2005,13-Jan,4875.91,3278.78,1174.32,422.81,2247.23,1174.32,325.92,3747.47,1627.1,692.93,203.61,2523.64
3/15/2013,CHHATTISGARH,7,JASHPUR,20-02-2006,13-Feb,2793.34,1891.6,684.27,217.47,1589.05,683.99,78.25,2351.29,1419.58,595.92,78.19,2093.69
3/15/2013,CHHATTISGARH,8,KANKER,15-07-2005,13-Feb,2331.57,1572.42,560.64,198.51,1286.76,562.27,133.76,1982.79,1269.82,471.02,111.6,1852.44
3/15/2013,CHHATTISGARH,9,KAWARDHA(KABIRDHAM),20-02-2006,13-Feb,2123.92,1426.8,504.44,192.68,991.18,504.44,0,1495.62,630.39,504.32,0,1134.7
3/15/2013,CHHATTISGARH,10,KORBA,11/3/2005,13-Feb,2581.53,1754.04,616.22,211.27,1478.97,658.45,224.27,2361.69,1200.57,489.18,224.26,1914.01
3/15/2013,CHHATTISGARH,11,KORIYA,20-02-2006,13-Jan,1988.2,1356.82,479.41,151.97,1118.12,479.41,95.83,1693.36,786.25,408.11,94.55,1288.91
3/15/2013,CHHATTISGARH,12,MAHASAMUND,20-02-2003,13-Jan,4580.44,3084.4,1117.73,378.31,2134.21,962.23,216.25,3312.69,1231.14,442.96,216.25,1890.35
3/15/2013,CHHATTISGARH,13,RAIGARH,20-02-2006,13-Feb,5229.56,3503.55,1256.76,469.25,2368.8,873.74,255.54,3498.08,2016.9,722.37,220.04,2959.32
3/15/2013,CHHATTISGARH,14,RAIPUR,7/11/2003,13-Jan,6394.94,4274.37,1529.4,591.17,3418.8,1366.08,0,4784.88,2486.06,1326.46,0,3812.52
3/15/2013,CHHATTISGARH,15,RAJNANDGAON,20-02-2003,13-Feb,4789.13,3248.56,1202.72,337.85,2414.56,1869.45,145.24,4429.25,2374.27,1039.03,101.17,3514.47
3/15/2013,CHHATTISGARH,16,SURGUJA,31-07-2006,13-Jan,5995.86,3952.99,1441.53,601.34,3271.21,1441.53,441.42,5154.16,2504.81,909.67,441.41,3855.89
3/15/2013,CHHATTISGARH,,Total :-,,,67877.81,45596.64,16475.61,5805.56,34080.15,15738.83,2800.15,52619.12,26265.55,11937.77,2573.03,40776.36
3/15/2013,D & N HAVELI,1,DADRA AND NAGAR HAVELI,1/5/2002,4-Jun,91,80.69,0,10.31,3.15,0,0,3.15,1.67,0,0,1.67
3/15/2013,D & N HAVELI,,Total :-,,,91,80.69,0,10.31,3.15,0,0,3.15,1.67,0,0,1.67
3/15/2013,GOA,1,NORTH GOA,24-07-2003,12-Nov,732.07,425.73,202.6,103.74,124.67,112.86,0,237.53,149.93,97.97,0,247.9
3/15/2013,GOA,2,SOUTH GOA,13-08-2007,12-Nov,327.36,209.23,89.65,28.48,47.65,0,0,47.65,0,0,0,0
3/15/2013,GOA,,Total :-,,,1059.43,634.96,292.25,132.22,172.32,112.86,0,285.18,149.93,97.97,0,247.9
3/15/2013,GUJARAT,1,AHMEDABAD,23-04-2002,13-Feb,2767.54,1325.24,764.05,678.25,1080.25,805.45,627.57,2513.27,1044.52,512.62,466.07,2023.21
3/15/2013,GUJARAT,2,AMRELI,24-09-2004,13-Feb,2491.08,1399.65,657.71,433.72,1080.55,473.07,40,1593.62,921.16,345.52,38.13,1304.81
3/15/2013,GUJARAT,3,ANAND,24-09-2004,13-Feb,2680.53,1249.35,755.98,675.2,980.87,781.09,31.75,1793.71,677.34,431.96,31.75,1141.05
3/15/2013,GUJARAT,4,BANAS KANTHA,24-09-2004,13-Feb,4321.31,2796.79,1063.29,461.23,2303.43,1034.71,454.31,3792.45,2372.94,898.19,455.85,3726.98
3/15/2013,GUJARAT,5,BHARUCH,24-09-2004,13-Feb,2688.39,1655.71,748.33,284.35,1251.4,746.78,331.83,2330.01,1145.35,630.5,331.83,2107.68
3/15/2013,GUJARAT,6,BHAVNAGAR,24-09-2004,13-Feb,1017.5,668.26,232.7,116.54,639.34,234.48,102.29,976.11,651.32,218.1,93.36,962.78
3/15/2013,GUJARAT,7,DAHOD,24-09-2004,13-Feb,3755.19,2424.65,872.41,458.13,1971.51,710.94,283.75,2966.2,1686,584.62,275.47,2546.09
