Date,State_Name,SL_No,District_Name,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT
3/15/2013,UTTAR PRADESH,5,AURAIYA,181453,59054,1056,11920,79095,9145,81293,21065,160388,62,736,8,544,0,6
3/15/2013,UTTAR PRADESH,6,AZAMGARH,560095,178179,31,34898,178967,35634,310596,70532,489563,923,2443,18,2296,3,86
3/15/2013,UTTAR PRADESH,7,BAGPAT,165832,21941,33,13731,26144,65852,60105,79583,86249,17,416,15,263,0,11
3/15/2013,UTTAR PRADESH,8,BAHRAICH,432146,72172,1349,48332,187920,27021,168873,75353,356793,1011,1451,2,1802,0,0
3/15/2013,UTTAR PRADESH,9,BALLIA,321828,63080,5838,86065,91038,42130,102595,128195,193633,149,3443,98,1085,9,107
3/15/2013,UTTAR PRADESH,10,BALRAMPUR,227461,41123,2458,17529,65161,8400,136371,25929,201532,553,1245,13,1191,1,18
3/15/2013,UTTAR PRADESH,11,BANDA,240409,53114,0,16589,120442,24706,78672,41295,199114,80,1698,2,948,1,10
3/15/2013,UTTAR PRADESH,12,BARABANKI,501928,145161,239,59333,199418,5065,238112,64398,437530,603,1832,21,1768,0,21
3/15/2013,UTTAR PRADESH,13,BAREILLY,411568,55510,73,31392,110000,73473,196703,104865,306703,350,4142,12,1619,4,14
3/15/2013,UTTAR PRADESH,14,BASTI,335317,82123,79,25133,160471,29309,120404,54442,280875,22,1643,24,1807,5,21
3/15/2013,UTTAR PRADESH,15,BIJNOR,426234,102478,538,11215,105462,87778,221779,98993,327241,3,2090,8,1390,0,68
3/15/2013,UTTAR PRADESH,16,BUDAUN,322879,79545,0,4458,102491,14018,201912,18476,304403,17,3805,4,1456,11,152
3/15/2013,UTTAR PRADESH,17,BULANDSHAHR,353414,35887,0,27322,28885,76917,220290,104239,249175,2075,2045,1381,1366,9,8
3/15/2013,UTTAR PRADESH,18,CHANDAULI,227181,68730,0,12276,91959,15340,107606,27616,199565,29,1310,4,1101,1,22
3/15/2013,UTTAR PRADESH,19,CHITRAKOOT,133803,30849,0,8071,39260,15777,70695,23848,109955,725,308,337,46,0,0
3/15/2013,UTTAR PRADESH,20,DEORIA,360473,58997,0,69203,95410,40401,155459,109604,250869,243,1914,57,1025,16,17
3/15/2013,UTTAR PRADESH,21,ETAH,192590,35592,0,10638,31052,8447,142453,19085,173505,624,842,2,1035,0,0
3/15/2013,UTTAR PRADESH,22,ETAWAH,202288,40078,41,15559,62657,22936,101136,38495,163793,637,415,42,611,0,36
3/15/2013,UTTAR PRADESH,23,FAIZABAD,232942,62987,0,23405,96565,7033,105939,30438,202504,563,608,10,1083,1,0
3/15/2013,UTTAR PRADESH,24,FARRUKHABAD,213527,27154,0,19385,119558,20391,54193,39776,173751,742,689,154,1201,2,1
3/15/2013,UTTAR PRADESH,25,FATEHPUR,366330,70721,0,47621,104426,24927,189353,72548,293779,410,950,93,1283,0,15
3/15/2013,UTTAR PRADESH,26,FIROZABAD,240982,90517,107,12280,19157,28021,181524,40301,200681,605,1537,34,973,0,10
3/15/2013,UTTAR PRADESH,27,GAUTAM BUDDHA NAGAR,107676,20375,0,4551,14569,30249,58307,34800,72876,16,383,12,373,0,0
3/15/2013,UTTAR PRADESH,28,GHAZIABAD,207321,44077,0,26902,10570,84706,85143,111608,95713,29,1571,136,612,0,5
3/15/2013,UTTAR PRADESH,29,GHAZIPUR,473686,99420,0,37769,124542,35189,276233,72958,400775,21,1754,4,1458,56,14
3/15/2013,UTTAR PRADESH,30,GONDA,350153,49087,111,14105,136500,11783,187765,25888,324265,26,1864,4,1483,0,16
3/15/2013,UTTAR PRADESH,31,GORAKHPUR,524606,125752,57,85081,149342,85019,205164,170100,354506,54,1246,32,1199,20,85
3/15/2013,UTTAR PRADESH,32,HAMIRPUR,202392,54240,0,11222,101096,15114,74960,26336,176056,38,971,0,707,0,0
3/15/2013,UTTAR PRADESH,33,HARDOI,516248,109159,0,39003,197782,52152,227311,91155,425093,750,1344,17,1555,0,4
3/15/2013,UTTAR PRADESH,34,JALAUN,166186,47655,0,30149,41153,25947,68937,56096,110090,139,1370,0,873,0,0
3/15/2013,UTTAR PRADESH,35,JAUNPUR,600402,127093,28,54361,172782,72513,300746,126874,473528,3,2622,1,3400,0,125
3/15/2013,UTTAR PRADESH,36,JHANSI,182041,66697,877,28525,58407,17200,77909,45725,136316,653,498,8,906,1,18
3/15/2013,UTTAR PRADESH,37,JYOTIBA PHULE NAGAR,197490,40531,59,22887,46148,47121,81334,70008,127482,620,413,10,471,7,0
3/15/2013,UTTAR PRADESH,38,KANNAUJ,218320,35081,8,7837,64935,52017,93531,59854,158466,47,940,24,714,2,37
3/15/2013,UTTAR PRADESH,39,KANPUR DEHAT,269391,69779,8,24783,120079,20169,104360,44952,224439,607,1093,0,1027,49,52
3/15/2013,UTTAR PRADESH,40,KANPUR NAGAR,225780,65412,202,30384,86905,17378,91113,47762,178018,838,617,38,762,0,39
3/15/2013,UTTAR PRADESH,41,KANSHIRAM NAGAR,139082,30794,0,10986,33213,4191,90692,15177,123905,586,1087,2,760,0,0
3/15/2013,UTTAR PRADESH,42,KAUSHAMBI,271743,83289,0,27861,111870,14310,117702,42171,229572,36,729,12,263,0,22
3/15/2013,UTTAR PRADESH,43,KUSHINAGAR,478938,69342,0,88685,221543,61895,106815,150580,328358,119,1987,85,2130,3,25
