Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,BIHAR,8,BUXAR,23-11-2005,4307.11,2913.81,1046.5,346.8,85268,78398,163666,50,1654,96,10
3/15/2013,BIHAR,9,DARBHANGA,12/3/2003,16395.84,11001.64,4048.56,1345.64,360250,282960,643210,50,3492,488,10
3/15/2013,BIHAR,10,GAYA,22-03-2001,14167.89,9534.99,3480.68,1152.22,295670,109655,405325,50,4742,1310,10
3/15/2013,BIHAR,11,GOPALGANJ,20-02-2006,7334.04,4959.89,1786.32,587.83,145610,56156,201766,50,2334,848,10
3/15/2013,BIHAR,12,JAMUI,15-07-2005,5779.45,3907.68,1409.88,461.89,109377,118537,227914,50,2042,323,10
3/15/2013,BIHAR,13,JEHANABAD,15-07-2005,2847.71,1938.98,694.35,214.38,52100,40435,92535,50,1372,405,7
3/15/2013,BIHAR,14,KAIMUR(BHABUA),17-05-2005,4138.38,2800.15,998.16,340.07,82439,82641,165080,50,1810,355,10
3/15/2013,BIHAR,15,KATIHAR,18-03-2002,9951.14,6644.42,2357.01,949.71,252534,150055,402589,52,2684,182,10
3/15/2013,BIHAR,16,KHAGARIA,20-02-2006,6200.88,4186.01,1489.27,525.6,133528,69746,203274,50,1358,169,10
3/15/2013,BIHAR,17,KISHANGANJ,20-02-2006,4773.98,3210.56,1140.12,423.3,108000,116799,224799,50,1429,88,10
3/15/2013,BIHAR,18,LAKHISARAI,20-02-2006,3873.52,2606.26,951.13,316.13,84742,74314,159056,50,988,252,7
3/15/2013,BIHAR,19,MADHEPURA,20-02-2006,6079.8,4102.27,1464.85,512.68,129796,119115,248911,50,1850,207,13
3/15/2013,BIHAR,20,MADHUBANI,18-03-2002,4307.83,2924.08,1048.58,335.17,67482,69746,137228,63,4572,1127,10
3/15/2013,BIHAR,21,MUNGER,20-02-2006,4328.34,2930.99,1056.69,340.66,86197,45296,131493,50,1334,310,10
3/15/2013,BIHAR,22,MUZAFFARPUR,11/6/2001,12397.69,8249.19,2894.55,1253.95,333183,278964,612147,101,5302,740,10
3/15/2013,BIHAR,23,NALANDA,12/3/2003,8291.48,5641.43,2039.39,610.66,152866,157933,310799,94,3608,891,10
3/15/2013,BIHAR,24,NAWADA,20-02-2006,8281.04,5596.7,2015.59,668.75,165884,69176,235060,50,2348,436,10
3/15/2013,BIHAR,25,PASHCHIM CHAMPARAN,23-11-2005,10631.22,7171.33,2583.53,876.36,219434,10832,230266,50,3578,318,10
3/15/2013,BIHAR,26,PATNA,22-03-2001,11231.64,7578.82,2742.57,910.25,220881,212726,433607,50,6670,553,10
3/15/2013,BIHAR,27,PURBA CHAMPARAN,22-03-2001,14276.55,9661.14,3481.16,1134.25,286090,246155,532245,94,4368,282,10
3/15/2013,BIHAR,28,PURNIA,20-02-2006,7906.83,5346.65,1886.44,673.74,171263,282408,453671,50,2484,175,10
3/15/2013,BIHAR,29,SAHARSA,20-02-2006,4626.7,3124.67,1100.71,401.32,101440,139000,240440,50,1554,256,10
3/15/2013,BIHAR,30,SAMASTIPUR,12/3/2003,16274.76,10977.32,4018.62,1278.82,335606,257444,593050,50,4936,559,10
3/15/2013,BIHAR,31,SARAN,11/6/2001,9567.69,6509.42,2277.42,780.85,189465,283058,472523,50,3798,344,10
3/15/2013,BIHAR,32,SASARAM(ROHTAS),23-11-2005,8409.6,5626.82,2029.15,753.63,180000,233378,413378,50,3208,476,10
3/15/2013,BIHAR,33,SHEIKHPURA,20-02-2006,2431.4,1655.25,591.63,184.52,44073,20595,64668,50,896,220,6
3/15/2013,BIHAR,34,SHEOHAR,20-02-2006,2628.12,1769.25,636.45,222.42,58032,43996,102028,50,581,66,5
3/15/2013,BIHAR,35,SITAMARHI,12/3/2003,14638.66,9882.78,3591.57,1164.31,294276,136865,431141,50,2750,173,10
3/15/2013,BIHAR,36,SIWAN,17-05-2005,10940.13,7369.19,2685.53,885.41,234450,136765,371215,50,3124,702,10
3/15/2013,BIHAR,37,SUPAUL,20-02-2006,7611.1,5138.02,1848.82,624.26,156954,136428,293382,50,1804,257,11
3/15/2013,BIHAR,38,VAISHALI,25-11-1999,7275.82,4841.58,1705.68,728.56,190598,195325,385923,50,3224,518,10
3/15/2013,BIHAR,,Total,,293380.8,197840.73,71151.11,24388.96,6195779,4975535,11171314,2362,102268,16444,364
3/15/2013,CHHATTISGARH,1,BASTAR(JAGDALPUR),20-02-2006,6309.53,4270.31,1557.1,482.12,127241,103140,230381,50,6078,1338,14
3/15/2013,CHHATTISGARH,2,BILASPUR,7/11/2003,8120.38,5432.45,1961.93,726,205812,171198,377010,50,4263,1471,10
