Date,State_Name,District_Name,Rural_Households,Census_2001_IHHL
06-03-13,MAHARASHTRA,GONDIA,241802,45747
06-03-13,MAHARASHTRA,HINGOLI,195143,14517
06-03-13,MAHARASHTRA,JALGAON,618314,89881
06-03-13,MAHARASHTRA,JALNA,318563,25387
06-03-13,MAHARASHTRA,KOLHAPUR,556628,142832
06-03-13,MAHARASHTRA,LATUR,359858,39969
06-03-13,MAHARASHTRA,NAGPUR,324568,78345
06-03-13,MAHARASHTRA,NANDED,487624,52872
06-03-13,MAHARASHTRA,NANDURBAR,270533,32263
06-03-13,MAHARASHTRA,NASHIK,661977,68092
06-03-13,MAHARASHTRA,OSMANABAD,294816,47957
06-03-13,MAHARASHTRA,PARBHANI,256063,25304
06-03-13,MAHARASHTRA,PUNE,744114,105101
06-03-13,MAHARASHTRA,RAIGAD,376520,81431
06-03-13,MAHARASHTRA,RATNAGIRI,333645,76671
06-03-13,MAHARASHTRA,SANGLI,432579,89748
06-03-13,MAHARASHTRA,SATARA,518187,89412
06-03-13,MAHARASHTRA,SINDHUDURG,180494,47963
06-03-13,MAHARASHTRA,SOLAPUR,583706,45738
06-03-13,MAHARASHTRA,THANE,526397,86671
06-03-13,MAHARASHTRA,WARDHA,210284,62711
06-03-13,MAHARASHTRA,WASHIM,217490,20757
06-03-13,MAHARASHTRA,YAVATMAL,513041,67752
06-03-13,MANIPUR,BISHNUPUR,28147,20490
06-03-13,MANIPUR,CHANDEL,25860,11045
06-03-13,MANIPUR,CHURACHANDPUR,46647,27188
06-03-13,MANIPUR,IMPHAL EAST,54014,44111
06-03-13,MANIPUR,IMPHAL WEST,41512,32185
06-03-13,MANIPUR,SENAPATI,32968,31432
06-03-13,MANIPUR,TAMENGLONG,21069,7862
06-03-13,MANIPUR,THOUBAL,54653,40269
06-03-13,MANIPUR,UKHRUL,30882,15080
06-03-13,MEGHALAYA,EAST GARO HILLS,49612,27687
06-03-13,MEGHALAYA,EAST KHASI HILLS,84694,20772
06-03-13,MEGHALAYA,JAINTIA HILLS,59681,12228
06-03-13,MEGHALAYA,RI BHOI,41925,18085
06-03-13,MEGHALAYA,SOUTH GARO HILLS,21836,7482
06-03-13,MEGHALAYA,WEST GARO HILLS,107941,36004
06-03-13,MEGHALAYA,WEST KHASI HILLS,56508,9941
06-03-13,MIZORAM,AIZAWL,17157,12985
06-03-13,MIZORAM,CHAMPHAI,15604,10398
06-03-13,MIZORAM,KOLASIB,7664,4897
06-03-13,MIZORAM,LAWNGTLAI,19039,8901
06-03-13,MIZORAM,LUNGLEI,18748,10125
06-03-13,MIZORAM,MAMIT,14048,6105
06-03-13,MIZORAM,SAIHA,6305,5565
06-03-13,MIZORAM,SERCHHIP,6309,4309
06-03-13,NAGALAND,DIMAPUR,36034,29324
06-03-13,NAGALAND,KIPHIRE,13400,2163
06-03-13,NAGALAND,KOHIMA,26421,20299
06-03-13,NAGALAND,LONGLENG,9896,5449
06-03-13,NAGALAND,MOKOKCHUNG,30016,30035
06-03-13,NAGALAND,MON,35804,25306
06-03-13,NAGALAND,PEREN,15850,1056
06-03-13,NAGALAND,PHEK,32889,12863
06-03-13,NAGALAND,TUENSANG,32185,28042
06-03-13,NAGALAND,WOKHA,27028,10221
06-03-13,NAGALAND,ZUNHEBOTO,25388,11620
06-03-13,ORISSA,ANGUL,249585,17739
06-03-13,ORISSA,BALANGIR,387345,14857
06-03-13,ORISSA,BALESWAR,473512,33589
06-03-13,ORISSA,BARGARH,339364,16901
06-03-13,ORISSA,BHADRAK,274191,17005
06-03-13,ORISSA,BOUDH,103239,3035
06-03-13,ORISSA,CUTTACK,425082,40086
06-03-13,ORISSA,DEBAGARH,70511,2741
06-03-13,ORISSA,DHENKANAL,253118,17053
06-03-13,ORISSA,GAJAPATI,112872,5211
06-03-13,ORISSA,GANJAM,602216,64902
06-03-13,ORISSA,JAGATSINGHAPUR,237411,21037
06-03-13,ORISSA,JAJAPUR,378135,43000
06-03-13,ORISSA,JHARSUGUDA,83664,4948
06-03-13,ORISSA,KALAHANDI,377001,15574
06-03-13,ORISSA,KANDHAMAL,155335,9222
06-03-13,ORISSA,KENDRAPARA,311465,20167
06-03-13,ORISSA,KENDUJHAR,349736,14478
06-03-13,ORISSA,KHORDHA,247940,22528
06-03-13,ORISSA,KORAPUT,283522,12142
06-03-13,ORISSA,MALKANGIRI,126306,4168
06-03-13,ORISSA,MAYURBHANJ,544764,22152
06-03-13,ORISSA,NABARANGAPUR,253461,9363
06-03-13,ORISSA,NAYAGARH,213265,24304
06-03-13,ORISSA,NUAPADA,151921,5135
06-03-13,ORISSA,PURI,317002,25593
06-03-13,ORISSA,RAYAGADA,191615,7171
06-03-13,ORISSA,SAMBALPUR,178958,8794
06-03-13,ORISSA,SONEPUR,140714,5062
06-03-13,ORISSA,SUNDARGARH,310762,15315
06-03-13,PUDUCHERRY,PONDICHERRY,69275,0
06-03-13,PUNJAB,AMRITSAR,212566,72468
06-03-13,PUNJAB,BARNALA,74819,35560
06-03-13,PUNJAB,BATHINDA,170853,102816
06-03-13,PUNJAB,FARIDKOT,76262,32349
06-03-13,PUNJAB,FATEHGARH SAHIB,77684,31421
06-03-13,PUNJAB,FEROZEPUR,271536,85588
06-03-13,PUNJAB,GURDASPUR,309898,45188
06-03-13,PUNJAB,HOSHIARPUR,258523,54289
06-03-13,PUNJAB,JALANDHAR,213390,81468
06-03-13,PUNJAB,KAPURTHALA,106870,32110
06-03-13,PUNJAB,LUDHIANA,278323,150787
06-03-13,PUNJAB,MANSA,115334,42458
06-03-13,PUNJAB,MOGA,145530,75232
06-03-13,PUNJAB,MUKTSAR,122957,59750
06-03-13,PUNJAB,NAWANSHAHR,102297,32080
06-03-13,PUNJAB,PATIALA,209720,75960
06-03-13,PUNJAB,RUPNAGAR,96022,36816
06-03-13,PUNJAB,S.A.S NAGAR,82601,7765
